Issue ID,Date,Device,Priority,Process / Sub Process,Comment,Issue,Detail,Picture,Status,Issue Type,Request By,Assign To,Assign To#2,Man-days,Estimated Completion Date,Actual Completion Date,Resolution / Comment
1,29/5/2026,PC,Low-Low,Authentication / User,,Login ไม่ได้เพราะ User มีสระอีและมองไม่เห็นตอนสร้าง User,อาจจะต้องเช็คจาก Assii code เอาเฉพาะภาษาอังกฤษ,Picture1,New,Request,Krit,Champ,,,,,
2,29/5/2026,PC,Low-Low,All Process,,This user is already logged in on another device/session.,This user is already logged in on another device/session.,,New,,,,,,,,
6,29/5/2026,PC,Low,Inventory Change / Change Location,,"29/05/26 Change Location , Inventory Movement (Location Transfer) ระบบไม่ทำการย้ายให้
02/06/26 ตรวจสอบรอบที่ 2 ยังไม่ได้แก้ไข
04/06/26 ตรวจสอบรอบที่ 3 จำนวนมี 1 ใส่ 2 บันทึกสำเร็จ
09/06/26 ตรวจสอบรอบที่ 2 ยังไม่ได้แก้ไข
A1-01-001	item099
ผมจะย้ายไป
A1-01-002        item099 ไม่ได้","ผมได้ดำเนินการย้ายสินค้าผ่านฟังก์ชัน Change Location โดยมีรายละเอียดดังนี้ครับ:
ข้อมูลต้นทาง (Source): Location: A-01-02-03 | Item: ITM-0001 | Qty: 50
ข้อมูลปลายทางที่ต้องการ (Target): Location: A-01-02-04 | Item: ITM-0001 | Qty: 10

สิ่งที่เกิดขึ้น:
หลังจากกดยืนยันการย้ายข้อมูล ระบบไม่มีการปรับเปลี่ยนสถานะหรือตำแหน่งในระบบ โดยสินค้ายังคงแสดงผลอยู่ที่ตำแหน่งเดิม (A-01-02-03) ทั้งหมด

สิ่งที่ต้องการให้ตรวจสอบ:
รบกวนตรวจสอบว่าคำสั่งย้าย (Move/Transfer Request) ได้ถูกส่งเข้าไปประมวลผลในระบบหรือไม่?
มีเงื่อนไขใดที่ป้องกันไม่ให้ย้ายสินค้าหรือไม่ครับ (เช่น ต้องมีการ Approve ก่อน หรือติดเงื่อนไข Inventory Status)?
รบกวนตรวจสอบ Log การทำงานในส่วนของ Service ที่ทำหน้าที่ปรับปรุง Location Inventory ให้ด้วยครับ",Picture5,New,Issue,Tak,Champ,,,,,
8,29/5/2026,PC,Low,Outbound / Outbound Plan,,"สร้าง Order Outbound โดยเมื่อทำการกดบันทึก
02/06/26 ตรวจสอบรอบที่ 2 ยังไม่ได้แก้ไข
04/06/26 ตรวจสอบรอบที่ 2 ยังไม่ได้แก้ไข ผมกดบันทึกระลลแจ้งบันทึกสำเร็จ พอให้ไปดู Order ที่สร้างระบบไม่แสดง Order ที่สร้าง
09/06/26 ตรวจสอบรอบที่ 3 ยังไม่ได้แก้ไข ","ผมพบปัญหาในการสร้าง Order Outbound โดยเมื่อทำการกดบันทึก ระบบแจ้งเตือนว่า ""บันทึกสำเร็จ"" แต่เมื่อเปิดกลับเข้ามาดูข้อมูลใน Order ดังกล่าว กลับพบว่า ""จำนวนสินค้าที่สั่งจ่าย (Quantity)"" ไม่ถูกบันทึกไว้ (แสดงเป็นค่าว่าง)",Picture7,New,Issue,Tak,Amp,,,,,
15,5/6/2026,PC,High,All Process,,เพิ่ม bs datagrid ให้ปรับทศนิยมโดนอ่านตาม file ENV,เพิ่ม bs datagrid ให้ปรับทศนิยมโดนอ่านตาม file ENV,,New,,,Amp,,,,,
16,2/6/2026,PC,High,All Process,,เพิ่ิ่ม prop config ทศนิยม เพื่อให้แสดงเหมือนกันทั้ง PDA,เพิ่ิ่ม prop config ทศนิยม เพื่อให้แสดงเหมือนกันทั้ง PDA,,New,,,Aot,,,,,
17,,,,All Process,,ปรับให้หน้าจอมีปุ่ม save เดียว,,,New,,,,,,,,
18,,,,All Process,,แก้ไขหน้าอื่น ๆ เช่นเปลี่ยน zone แล้ว หน้า inventory ไม่ reload,,,New,,,,,,,,
19,,PC,,Inbound / Inbound Plan,,แก้ไข Inbound detail สั่ง print ไปแล้ว 1 รอบ รองสอง print ไม่ได้,,,New,,,Champ,,,,,
20,,PDA,,Inbound / Inbound Order Receipt (PDA),,remaining แสดงเป็น0 หลังรับรองสองลองเช็คการแสดงอีกท,กลับมาเช็คอีกทีเนื่องจากต้องมีการ covert หน่วยด้วย,,In Review,,,Aot,,,,,
21,,PDA,,Inbound / Inbound Order Receipt (PDA),,inbound po % แสดงไม่ถูก,,,In Review,,,Aot,,,,,
22,,PDA,,Inventory / Inventory Viewer,,ค้นหาด้วย M01_None มันไม่ค้นหาให้ tab item summary,,,,,,After,,,,,
23,29/6/2026,PC,High,All Process,,ระบบแสดง Cursor ในฟิลด์ที่แก้ไขไม่ได้ (Read-only),รบกวนนำ Cursor ออกจากทุกหน้าจอที่มีฟิลด์ลักษณะนี้ เนื่องจากเมื่อผู้ใช้กดเข้าไปแล้ว ระบบจะแสดง Cursor เหมือนให้แก้ไขได้ แต่ในความเป็นจริงไม่สามารถแก้ไขข้อมูลได้,Picture13,New,Issue,P'Noom,After,,,30/6/2026,,
24,29/6/2026,PC,High,All Process,,ระบบแสดง Cursor และแถบไฮไลต์บนปุ่มและฟิลด์ที่แก้ไขไม่ได้,"รบกวนนำ Cursor และความสามารถในการคลุมดำข้อความ (Text Selection) ออกจากปุ่มสถานะ (เช่น Open, Cancelled, Shipped) ปุ่มแอคชัน (เช่น Release) และฟิลด์ต่างๆ ที่ผู้ใช้ไม่สามารถแก้ไขข้อมูลได้ เนื่องจากปัจจุบันเมื่อกดแล้วระบบแสดง Cursor หรือเกิดแถบไฮไลต์สีน้ำเงิน ทำให้ผู้ใช้งานสับสนคิดว่าสามารถแก้ไขข้อความบนปุ่มหรือฟิลด์นั้นๆ ได้ครับ",Picture14,New,Issue,P'Noom,Krit,,,30/6/2026,,
25,29/6/2026,PC,High,All Process,,หน้าจอแสดงผลตารางยังสามารถพิมพ์แก้ไขข้อมูลได้ (ต้องการให้เป็น Read-only),"รบกวนปรับปรุงฟิลด์ข้อมูลในตารางทั้งหมด (เช่น Warehouse Name, Description, Address) ให้เป็นแบบอ่านอย่างเดียว (Read-only) และห้ามพิมพ์ข้อมูลใด ๆ เข้าไปได้ เนื่องจากปัจจุบันฟิลด์เหล่านี้ยังเปิดให้พิมพ์ข้อความ (Key ข้อมูล) และแก้ไขระบบได้อยู่ครับ",Picture15,New,Issue,P'Noom,Krit,,,30/6/2026,,
26,29/6/2026,PC,High,All Process,,เมนูด้านซ้ายไม่เปลี่ยนสถานะตามหน้าจอที่เปิดใช้งาน (Menu Sidebar Active State Error),พบปัญหาที่แถบเมนูด้านซ้ายมือ (Sidebar) เมื่อผู้ใช้งานกดเลือกเมนูอื่นแล้ว แถบสีไฮไลต์ (Active Icon) ยังคงค้างอยู่ที่เมนูเดิม ไม่ย้ายตามไปยังเมนูใหม่ที่กดเลือก และหน้าจอด้านขวายังคงค้างอยู่ที่หน้าเดิม (My Inventory) ไม่ยอมลิงก์ไปหน้าใหม่สิ่งที่ต้องการให้ปรับปรุง:เมื่อกดเมนูใด ให้ระบบลิงก์เปลี่ยนหน้าจอฝั่งขวาไปหน้านั้น ๆ ให้ถูกต้องให้ย้ายวงกลมไฮไลต์สีม่วง (Active State) ไปอยู่ที่ไอคอนเมนูที่กำลังเปิดใช้งานล่าสุดทุกครั้ง,Picture16,New,Issue,P'Noom,Krit,,,30/6/2026,,
27,29/6/2026,PC,High,All Process,,ขอความชัดเจนเรื่องเงื่อนไขการแก้ไขข้อมูลในตาราง และการแสดงผลที่ทำให้ผู้ใช้สับสน (UX/UI Inconsistency),"จากการทดสอบหน้าจอ พบว่าระบบเปิดให้พิมพ์แก้ไขข้อมูลในตารางได้เพียง 2 ฟิลด์เท่านั้น ซึ่งทำให้เกิดความสับสนในการทำงานจริง จึงขอสอบถามและให้ทีมช่วยตรวจสอบในประเด็นดังนี้ครับ:
1. Logic/Business Rule: มีเงื่อนไขหรือเหตุผลใดในการออกแบบที่กำหนดให้แก้ไขได้เพียง 2 ฟิลด์นี้?
2.UX/UI Design: การปล่อยให้พิมพ์ในหน้าตารางได้ทันทีโดยไม่มีปุ่ม ""บันทึก"" หรือสัญลักษณ์แยกแยะระหว่างฟิลด์ที่ 'แก้ไขได้' กับ 'อ่านได้อย่างเดียว' ทำให้ผู้ใช้สับสนและไม่แน่ใจว่าหน้าจออื่น ๆ จะเผลอไปกดแก้ไขด้วยได้ไหม

ข้อเสนอแนะเพื่อปรับปรุง:
- หากต้องการให้แก้ไขได้จริง: ควรมีปุ่ม ""แก้ไข (Edit)"" แยกต่างหากเพื่อเปิดโหมดแก้ไข และปรับสไตล์ฟิลด์ที่ห้ามแก้ให้เป็นสีเทา (Disabled/Read-only) ให้ชัดเจน
- หากหน้าจอนี้ตั้งใจให้ดูข้อมูลอย่างเดียว: ควรล็อกให้เป็น Read-only ทั้งหมดในทุกหน้าจอที่มีลักษณะเดียวกัน เพื่อให้ระบบทำงานไปในทิศทางเดียวกัน (Consistency)",,New,Issue,P'Noom,Krit,,,30/6/2026,,
28,29/6/2026,PC,High,All Process,,ระดับความสูงของตัวเลขในกล่องแสดงผล (Summary Cards) ไม่เท่ากัน,"พบปัญหาเรื่องการจัดวางตำแหน่ง (UI Alignment) ในส่วนของกล่องแสดงผลระบบ (Summary Cards) ด้านล่างตัว Progress Bar ปัจจุบันตัวเลขในแต่ละกล่องแสดงผลอยู่ในระดับความสูงที่เยื้องขึ้นเยื้องลงไม่เท่ากัน ดูไม่เป็นระเบียบ
สิ่งที่ต้องการให้ปรับปรุง:
- รบกวนปรับระดับความสูง (Vertical Alignment) ของตัวเลขทุกกล่อง (เช่น 1, 10.000, 0.000, 10.000, 0.00%) ให้จัดวางอยู่ในระดับระนาบเดียวกันทั้งหมด เพื่อความเป็นระเบียบและสวยงามตามมาตรฐานการออกแบบ",Picture17,New,Issue,P'Noom,Krit,,,30/6/2026,,
29,29/6/2026,PC,High,All Process,,ขอความชัดเจนเรื่องเงื่อนไขการทำงานในหน้าจอ My Inventory (Aging / Order Type / Release Condition),"เพื่อให้การทำงานของหน้าจอ My Inventory มีความสมบูรณ์และถูกต้องตาม Business Logic รบกวนทีมตรวจสอบและให้ข้อมูลเพิ่มเติมในประเด็นดังต่อไปนี้ครับ:
1. Inventory Aging: หน้าจอนี้ขาดการแสดงผลเรื่องอายุของสินค้า (Aging) หรือไม่? มีเงื่อนไขการคำนวณอายุสินค้าเพื่อนำมาแสดงผลอย่างไร?
2. Release Rules & Order Type: มีการกำหนดเงื่อนไขแยกตามประเภทใบสั่งซื้อ (Order Type) หรือไม่? ว่า Order Type ไหนบ้างที่อนุญาตให้ทำการปล่อยใบสั่งซื้อ (Release) ได้ทันที แม้ว่าในระบบจะไม่มีสินค้าพร้อมส่ง (Out of Stock)
3. Default System Settings: ควรมีการตั้งค่าประเภทเริ่มต้น (Default Type) ในระบบหรือไม่? และควรประกอบไปด้วยประเภทใดบ้าง เพื่อให้ระบบทำงานได้เป็นมาตรฐานเดียวกัน
รบกวนทีมช่วยสรุปเงื่อนไขเหล่านี้ เพื่อที่โปรแกรมเมอร์จะได้นำไปพัฒนาต่อได้อย่างถูกต้องและไม่เกิดความสับสนครับ",,New,Issue,P'Noom,Krit,,,30/6/2026,,
